"audio/adid.mp3","adid","ອະດິດ","former","adj"
"audio/adid-kan.mp3","adid kan","ອະດີດການ","past","n|time"
"audio/afrika.mp3","afrika","ອາຟຣິກກາ","African","adj"
"audio/ahan.mp3","ahan","ອາຫານ","food","n"
"audio/ahan.mp3","ahan","ອາຫານ","grub","n|food"
"audio/ahan-bau.mp3","ahan bau","ອາຫານເບົາ","snack","n"
"audio/ahan-kang-van.mp3","ahan kang van","ອາຫານກາງວັນ","lunch","n"
"audio/ahan-kham.mp3","ahan kham","ອາຫານຄໍ່າ","supper","n"
"audio/ahan-sat.mp3","ahan sat","ອາຫານສັດ","feed","n"
"audio/ahan-sau.mp3","ahan sau","ອາຫານເຊົ້າ","breakfast","n"
"audio/ahan-thale.mp3","ahan thale","ອາຫານທະເລ","seafood","n"
"audio/ai.mp3","ai","ອ້າຍ","brother","n/o"
"audio/ai.mp3","ai","ອາຍ","ashamed","adj"
"audio/ai.mp3","ai","ໄອ","cough","v"
"audio/ai-khyei.mp3","ai khyei","ອ້າຍເຂີຍ","brother-in-law","n|h/o/s/h"
"audio/ai-mia.mp3","ai mia","ອ້າຍເມັັຽ","brother-in-law","n|w/o/b"
"audio/ai-phua.mp3","ai phua","ອ້າຍຜົວ","brother-in-law","n|h/o/b"
"audio/ainam.mp3","ainam","ອາຍນໍ້າ","steam","n"
"audio/ainja-kan.mp3","ainja kan","ໄອຍະການ","prosecutor","n"
"audio/ainjakan.mp3","ainjakan","ໄອຍະການ","attorney","n/f"
"audio/ainjakan.mp3","ainjakan","ໄອຍະການ","attorney","n/m"
"audio/akan.mp3","akan","ອາການ","posture","n"
"audio/akan-hen-sing-thi-bomi-tjing.mp3","akan hen sing thi bomi tjing","ອາການເຫັນສິ່ງທີ່ບໍ່ມີຈິງ","hallucination","n"
"audio/akan-khong-lok.mp3","akan khong lok","ອາການຂອງໂລກ","symptom","n"
"audio/akan-langlym.mp3","akan langlym","ອາການຫລັງລື່ມ","amnesia","n"
"audio/akan-pun-thong.mp3","akan pun thong","ອາການປຸ້ນທ້ອງ","nausea","n"
"audio/akan-tjep-thong.mp3","akan tjep thong","ອາການເຈັບທ້ອງ","heartburn","n"
"audio/akan-tjit-bo-pho.mp3","akan tjit bo pho","ອາການຈິດບໍ່ພໍ","insanity","n"
"audio/akat.mp3","akat","ອາກາດ","air","n"
"audio/akat.mp3","akat","ອາກາດ","weather","n"
"audio/akat-hon.mp3","akat hon","ອາກາດຮ້ອນ","heatwave","n"
"audio/akat-nau-lai.mp3","akat nau lai","ອາກາດໜາວຫຼາຍ","frost","n"
"audio/akat-sot.mp3","akat sot","ອາກາດສົດ","oxygen","n"
"audio/akhan.mp3","akhan","ອາຄານ","establishment","n"
"audio/akhat.mp3","akhat","ອາຄາດ","reprisal","n"
"audio/aksep.mp3","aksep","ອັກເສບ","inflammation","n"
"audio/alom.mp3","alom","ອາລົມ","mood","n"
"audio/alom.mp3","alom","ອາລົມ","temper","n"
"audio/alu-mi-niam.mp3","alu mi niam","ອະລູມີນັຽມ","aluminum","n"
"audio/am-phan.mp3","am phan","ອໍາພັນ","amber","n|stone"
"audio/amerika.mp3","amerika","ອະເມຣິກາ","America","n"
"audio/amerika.mp3","amerika","ອະເມຣິກາ","American","adj"
"audio/ammonia.mp3","ammonia","ອໍາມໍເນຍ","ammonia","n"
"audio/amnat.mp3","amnat","ອໍານາດ","authorities","n"
"audio/amnat.mp3","amnat","ອໍານາດ","authority","n"
"audio/amnat.mp3","amnat","ອໍານາດ","might","n"
